Year,Campus,Program,Enrollment
2021,Boac,Bachelor of Science in Civil Engineering,439
2021,Boac,Bachelor of Science in Electronics Engineering,81
2021,Boac,Bachelor of Science in Computer Engineering,95
2021,Boac,Bachelor of Science in Electrical Engineering,131
2021,Boac,Bachelor of Science in Mechanical Engineering,121
2021,Boac,Bachelor of Secondary Education,268
2021,Boac,Bachelor of Culture and Arts Education,90
2021,Boac,Bachelor of Technology and Livelihood Education,82
2021,Boac,Bachelor of Science in Industrial Technology,1473
2021,Boac,Bachelor of Science in Information Technology,684
2021,Boac,Bachelor of Science in Information System,189
2021,Boac,Bachelor of Arts major in English,156
2021,Boac,Bachelor of Arts in Communication,193
2021,Boac,Bachelor of Science in Social Works,263
2021,Boac,Bachelor of Science in Environmental Science,125
2021,Boac,Bachelor of Science in Entrepreneurship-Entrepreneurial Management,273
2021,Boac,Bachelor of Science in Tourism Management,291
2021,Boac,Bachelor of Science in Accounting Information System,191
2021,Boac,Bachelor of Science in Business Administration,480
2021,Boac,Bachelor of Science in Accountancy,83
2021,Boac,Bachelor of Science in Law Enforcement Administration,367
2021,Boac,Bachelor of Science in Public Administration,251
2021,Boac,Bachelor of Science in Nursing,319
2021,Boac,Diploma in Midwifery,64
2021,Gasan,Bachelor of Science in Fisheries,227
2021,Sta. Cruz,Bachelor of Elementary Education,101
2021,Sta. Cruz,Bachelor of Arts in Political Science,233
2021,Sta. Cruz,Bachelor of Science in Information System,147
2021,Torrijos,Bachelor of Science in Agriculture,23
2021,Torrijos,Bachelor in Agricultural Technology,104
2021,Torrijos,Bachelor of Science in Entrepreneurship-Agri-Business,19
2021,Torrijos,Diploma in Agricultural Technology,135
2021,Torrijos,Certificate in Agricultural Science,69
2022,Boac,Bachelor of Science in Civil Engineering,411
2022,Boac,Bachelor of Science in Electronics Engineering,83
2022,Boac,Bachelor of Science in Computer Engineering,111
2022,Boac,Bachelor of Science in Electrical Engineering,145
2022,Boac,Bachelor of Science in Mechanical Engineering,138
2022,Boac,Bachelor of Secondary Education,302
2022,Boac,Bachelor of Culture and Arts Education,93
2022,Boac,Bachelor of Technology and Livelihood Education,95
2022,Boac,Bachelor of Science in Industrial Technology,1628
2022,Boac,Bachelor of Science in Information Technology,783
2022,Boac,Bachelor of Science in Information Systems,214
2022,Boac,Bachelor of Arts major in English Language Studies,163
2022,Boac,Bachelor of Arts in Communication,221
2022,Boac,Bachelor of Science in Social Works,251
2022,Boac,Bachelor of Science in Environmental Science,157
2022,Boac,Bachelor of Science in Entrepreneurship-Entrepreneurial Management,258
2022,Boac,Bachelor of Science in Public Administration,241
2022,Boac,Bachelor of Science in Tourism Management,372
2022,Boac,Bachelor of Science in Accounting Information System,164
2022,Boac,Bachelor of Science in Business Administration,663
2022,Boac,Bachelor of Science in Accountancy,113
2022,Boac,Bachelor of Science in Law Enforcement Administration,369
2022,Boac,Bachelor of Science in Nursing,387
2022,Gasan,Bachelor of Science in Fisheries,318
2022,Sta. Cruz,Bachelor of Elementary Education,110
2022,Sta. Cruz,Bachelor of Arts in Political Science,215
2022,Sta. Cruz,Bachelor of Science in Information Systems,155
2022,Torrijos,Bachelor in Agricultural Technology,82
2022,Torrijos,Bachelor of Science in Agriculture,23
2022,Torrijos,Bachelor of Science in Entrepreneurship-Agri-Business,10
2023,Boac,Bachelor of Science in Civil Engineering,431
2023,Boac,Bachelor of Science in Computer Engineering,144
2023,Boac,Bachelor of Science in Electrical Engineering,161
2023,Boac,Bachelor of Science in Electronics Engineering,94
2023,Boac,Bachelor of Science in Mechanical Engineering,161
2023,Boac,Bachelor of Science in Industrial Technology,1673
2023,Boac,Bachelor of Science in Information Technology,729
2023,Boac,Bachelor of Science in Information System,248
2023,Boac,Bachelor of Secondary Education,306
2023,Boac,Bachelor of Culture and Arts Education,103
2023,Boac,Bachelor of Technology and Livelihood Education,103
2023,Boac,Bachelor of Arts in English Language Studies,162
2023,Boac,Bachelor of Arts in Communication,233
2023,Boac,Bachelor of Science in Social Works,280
2023,Boac,Bachelor of Science in Entrepreneurship-Entrepreneurial Management,248
2023,Boac,Bachelor of Science in Business Administration,855
2023,Boac,Bachelor of Science in Accountancy,103
2023,Boac,Bachelor of Science in Law Enforcement Administration,290
2023,Boac,Bachelor of Science in Public Administration,304
2023,Boac,Bachelor of Science in Environmental Science,200
2023,Boac,Bachelor of Science in Nursing,428
2023,Boac,Bachelor of Science in Midwifery,65
2023,Boac,Diploma in Midwifery,0
2023,Gasan,Bachelor of Science in Fisheries,393
2023,Sta. Cruz,Bachelor of Elementary Education,121
2023,Sta. Cruz,Bachelor of Arts in Political Science,222
2023,Sta. Cruz,Bachelor of Science in Accounting Information System,98
2023,Sta. Cruz,Bachelor of Science in Tourism Management,399
2023,Sta. Cruz,Bachelor of Science in Information System,145
2023,Torrijos,Bachelor of Science in Agriculture,145
2023,Torrijos,Bachelor in Agricultural Technology,96
2023,Torrijos,Bachelor of Science in Entrepreneurship-Agri-Business,1
2023,Torrijos,Diploma in Agricultural Technology,0
2023,Torrijos,Certificate in Agricultural Science,0
