Year,Campus,Program,Year of Initial Operation,Level 1,Level 2,Level 3,Level 4,CS,NA,"FROM
(mm/dd/yyyy)","TO
(mm/dd/yyyy)"
2021,Boac,Bachelor of Secondary Education,1990-1991,,,1,,,,March 2018 ,February 2022
2021,Boac,BS in Civil Engineering,1986-1987,,,1,,,,"May 16, 2021","May 15, 2025"
2021,Boac,BS in Electrical Engineering,1998-1999,,,1,,,,"May 16, 2021","May 15, 2025"
2021,Boac,BS in Computer Engineering,2008-2009,,,1,,,,"July 1, 2021","June 30, 2025"
2021,Boac,BS in Electronics and Communication Engineering,2008-2009,,,1,,,,"July 1, 2021","June 30, 2025"
2021,Boac,BS in Information System,1998-1999,,,1,,,,"January 1, 2020","December 31, 2023"
2021,Boac,BS in Information Technology,1998-1999,,,1,,,,"January 1, 2020","December 31, 2023"
2021,Boac,BS in Industrial Technology ,1977-1978,,,1,,,,"January 1, 2020","December 31, 2023"
2021,Boac,AB in Communication,2007-2008,,,1,,,,October 2021,October 2025
2021,Boac,AB in English,2006-2007,,,1,,,,October 2021,October 2025
2021,Boac,BS in Entrepreneurship,2006-2007,,,1,,,,"July 1, 2021","June 30, 2025"
2021,Boac,BS in Nursing,2006-2007,,,1,,,,"July 1, 2021","June 30, 2025"
2021,Boac,BS in Law Enforcement Administration,2008-2009,,1,,,,,"November 1, 2018","October 31, 2022"
2021,Boac,Bachelor of Public Administration ,2012-2013,1,,,,,,"July 1, 2019","June 30, 2022"
2021,Boac,BS in Social Work,2012-2013,1,,,,,,"July 1, 2019","June 30, 2022"
2021,Boac,BS in Mechanical Engineering ,2013-2014,1,,,,,,"July 1, 2019","June 30, 2022"
2021,Boac,Bachelor of Science in Environmental  Science,2013-2014,,,,,1,,"October 16, 2020","October 15, 2022"
2021,Boac,BS in Accounting Technology(now Accounting Information System),2018-2019,1,,,,,,"July 1, 2019","June 30, 2022"
2021,Boac,BS in Tourism Management ,2007-2008,,,1,,,,"July 1, 2021","June 30, 2025"
2021,Boac,Bachelor in Culture & Arts Education,2018-2019,,,,,,1,,
2021,Boac,Bachelor in Technology & Livelihood Education,2018-2019,,,,,,1,,
2021,Boac,Bachelor of Science in Accountancy,2019-2020,,,,,,1,,
2021,Boac,Bachelor of Science in Business Administration,2019-2020,,,,,,1,,
2021,Gasan,Bachelor of Science in Fisheries,1996-1997,,,1,,,,"July 1, 2021","June 30, 2025"
2021,Sta. Cruz,Bachelor of Elementary Education ,1993-1994,,,1,,,,"December 16, 2020 ","December 15, 2024"
2021,Sta. Cruz,AB in Political Science,1993-1994,,1,,,,,July 2021,June 2025
2021,Sta. Cruz,BS in Information System,1999-2000,,1,,,,,July 2021,June 2025
2021,Torrijos,Bachelor in Agricultural Technology                   (Diploma in Agricultural Technology) ,1997-1998,,,1,,,,"January 1, 2020","December 31, 2023"
2021,Torrijos,Bachelor of Science in Entrepreneurship - Agricultural Business,2011-2012,,1,,,,,"November 1, 2018","October 31, 2022"
2021,Torrijos, Bachelor of Science in Agriculture ,2012-2013,1,,,,,,"July 1, 2019","June 30, 2022"
2022,Boac,"Bachelor of Secondary Education (major in Mathematics, Science, & Social Studies)",2004,,,1,,,,"October 1, 2022",45170
2022,Boac,Bachelor of Science in Information Systems,2008,,,1,,,,"January 1, 2020","December 31, 2023"
2022,Boac,Bachelor of Science in Information Technology,2008,,,1,,,,"January 1, 2020","December 31, 2023"
2022,Boac,"Bachelor of Science in Industrial Technology (major in Automotive Technology, Drafting Technology, Electrical Technology, Food Technology, Mechanical Technology, Refrigeration and Air- conditioning Technology, & Welding and Fabrication Technology)",1975,,,1,,,,"January 1, 2020","December 31, 2023"
2022,Boac,Bachelor of Science in Civil Engineering,1985,,,1,,,,"May 16, 2021","May 15, 2025"
2022,Boac,Bachelor of Science in Electrical Engineering,1998,,,1,,,,"May 16, 2021","May 15, 2025"
2022,Boac,Bachelor of Science in Computer Engineering,2008,,,1,,,,"July 1, 2021","June 30, 2025"
2022,Boac,Bachelor of Science in Mechanical Engineering,2012,,1,,,,,"July 1, 2022","June 30, 2026"
2022,Boac,Bachelor of Science in Electronics Engineering,2008,,,1,,,,"July 1, 2021","June 30, 2025"
2022,Boac,Bachelor of Arts in Communication,2010,,,1,,,,"October 16, 2021","October 15, 2025"
2022,Boac,Bachelor of Arts in English Language Studies,2002,,,1,,,,"October 16, 2021","October 15, 2025"
2022,Boac,Bachelor of Science in Nursing,2011,,,1,,,,"July 1, 2021","June 30, 2025"
