Year,Campus,Program,Date,Number of 1st Time Takers,Number of 1st Time Passers,Exam Season,Passing Rate,Category
2023,Boac,Bachelor of Science in Nursing,May & November 2023,90,86,Fall,0.955555556,Health Sciences
2023,Boac,Bachelor of Science in Social Work,Sep-23,52,37,Special,0.711538462,Social Sciences
2023,Boac,Bachelor of Science in Electrical Engineering,April & September 2023,26,20,Summer,0.769230769,Engineering
2023,Boac,Bachelor of Science in Electronics Engineering,April & October 2023,18,5,Summer,0.277777778,Engineering
2023,Boac,Bachelor of Science in Civil Engineering,April & November 2023,119,57,Fall,0.478991597,Engineering
2023,Boac,Bachelor of Science in Mechanical Engineering,February & August 2023,16,15,Winter,0.9375,Engineering
2023,Boac,Bachelor of Secondary Education,March & September 2023,101,86,Summer,0.851485149,Education
2023,Boac,Bachelor of Elementary Education,March & September 2023,23,23,Summer,1,Education
2023,Gasan,Bachelor of Science in Fisheries,Oct-23,7,4,Special,0.571428571,Agriculture
2023,Torrijos,Bachelor of Science in Agriculture,Nov-23,16,11,Special,0.6875,Agriculture
2022,Boac,Bachelor of Science in Nursing,May & November 2022,3,2,Fall,0.666666667,Health Sciences
2022,Boac,Bachelor of Science in Social Work,February & September 2022,28,19,Summer,0.678571429,Social Sciences
2022,Boac,Bachelor of Science in Electrical Engineering,April & September 2022,25,7,Summer,0.28,Engineering
2022,Boac,Bachelor of Science in Electronics Engineering,April & October 2022,14,2,Summer,0.142857143,Engineering
2022,Boac,Bachelor of Science in Civil Engineering,May & November 2022,165,69,Fall,0.418181818,Engineering
2022,Boac,Bachelor of Science in Mechanical Engineering,February & August 2022,32,21,Winter,0.65625,Engineering
2022,Boac,Bachelor of Secondary Education,"January,March,June & October 2022",118,104,Summer,0.881355932,Education
2022,Boac,Bachelor of Elementary Education,"January,March,June & October 2022",54,47,Summer,0.87037037,Education
2022,Gasan,Bachelor of Science in Fisheries,Oct-22,2,1,Special,0.5,Agriculture
2022,Torrijos,Bachelor of Science in Agriculture,Nov-22,9,8,Special,0.888888889,Agriculture
2021,Boac,Bachelor of Science in Nursing,"November 21-22, 2021 & July 2021",3,1,Fall,0.333333333,Health Sciences
2021,Boac,Bachelor of Science in Social Work,"August 24-26, 2021",1,0,Special,0,Social Sciences
2021,Boac,Bachelor of Science in Electrical Engineering,"September 5-6, 2021",7,5,Summer,0.714285714,Engineering
2021,Boac,Bachelor of Science in Electronics Engineering,"October 24-25, 2021",1,1,Summer,1,Engineering
2021,Boac,Bachelor of Science in Civil Engineering,"November 14-15, 2021",9,5,Fall,0.555555556,Engineering
2021,Boac,Bachelor of Science in Mechanical Engineering,"August, 2021",2,0,Special,0,Engineering
2021,Boac,Bachelor of Secondary Education,March & September 2023,11,10,Summer,0.909090909,Education
2021,Boac,Bachelor of Elementary Education,March & September 2023,53,37,Summer,0.698113208,Education
2021,Torrijos,Bachelor of Science in Agriculture,"November 9-11, 2021",3,3,Fall,1,Agriculture
2021,Gasan,Bachelor of Science in Fisheries,"October 6-7, 2021",0,0,Summer,0,Agriculture
