Year,Campus,Program,Date,Number of 1st Time Takers,Number of 1st Time Passers
2023,Boac,Bachelor of Science in Nursing,May & November 2023,90,86
2023,Boac,Bachelor of Science in  Social Work,Sep-23,52,37
2023,Boac,Bacelor of Science in Electrical Engineering,April & September 2023,26,20
2023,Boac,Bachelor of Science in Electronics Engineering,April & October 2023,18,5
2023,Boac,Bachelor of Science in Civil Engineering,April & November 2023,119,57
2023,Boac,Bachelor of Science in Mechanical Engineering,February & August 2023,16,15
2023,Boac,Bachelor of Secondary Education,March & September 2023,101,86
2023,Boac,Bachelor of Elementary Education,March & September 2023,23,23
2023,Gasan,Bachelor of Science in Fisheries,Oct-23,7,4
2023,Torrijos,Bachelor of Science in Agriculture,Nov-23,16,11
2022,Boac,Bachelor of Science in Nursing,May & November 2022,3,2
2022,Boac,Bachelor of Science in  Social Work,February & September 2022,28,19
2022,Boac,Bacelor of Science in Electrical Engineering,April & September 2022,25,7
2022,Boac,Bachelor of Science in Electronics Engineering,April & October 2022,14,2
2022,Boac,Bachelor of Science in Civil Engineering,May & November 2022,165,69
2022,Boac,Bachelor of Science in Mechanical Engineering,February & August 2022,32,21
2022,Boac,Bachelor of Secondary Education,"January,March,June & October 2022",118,104
2022,Boac,Bachelor of Elementary Education,"January,March,June & October 2022",54,47
2022,Gasan,Bachelor of Science in Fisheries,Oct-22,2,1
2022,Torrijos,Bachelor of Science in Agriculture,Nov-22,9,8
2021,Boac,Bachelor of Science in Nursing,"November 21-22, 2021 & July 2021",3,1
2021,Boac,Bachelor of Science in  Social Work,"August 24-26, 2021",1,0
2021,Boac,Bacelor of Science in Electrical Engineering,"September 5-6, 2021",7,5
2021,Boac,Bachelor of Science in Electronics Engineering,"October 24-25, 2021",1,1
2021,Boac,Bachelor of Science in Civil Engineering,"November 14-15, 2021",9,5
2021,Boac,Bachelor of Science in Mechanical Engineering,"August, 2021",2,0
2021,Boac,Bachelor of Secondary Education,March & September 2023,11,10
2021,Boac,Bachelor of Elementary Education,March & September 2023,53,37
2021,Torrijos,Bachelor of Science in Agriculture,"November 9-11, 2021",3,3
2021,Gasan,Bachelor of Science in Fisheries,"October 6-7, 2021",0,0
