Year,Research Title,Name of Faculty Researcher,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation,is_duplicate,authors,research_theme
2023,"Level of Satisfaction of the Residents of Brgy. Pili, Mogpog, Marinduque on Government Service Delivery","Generoso E. Udanga
Abraham L. Cuevas",Completed,2022-10-16,2023-01-15,PSU BIMP-EAGA International Research Conference,"City State Asturias Hotel, Puerto Princesa, Palawan",International,09/02/2023,False,"['Generoso E. Udanga', 'Abraham L. Cuevas']",Governance
2023,Lived Experiences of Selected MSMEs on Technological Assistance,Michael V. Capi�a,Completed,2022-09-25,2023-01-25,"2023 International Conference on Sustainable Agri-vironment Education, Entrepreneurship, and Community Development (ICSAVED)",Mariano Marcos State Univeristy,International,"March 14-17, 2023",False,['Michael V. Capi�a'],Other
2023,Tracer Study of Diploma in Midwifery Graduates in the Marinduque State College from 2006-2022,Abegail O. Magcamit,Completed,2022-10-01,2023-03-01,"35th APSOM Annual Convention ? Association of Philippine Schools of Midwifery, Inc","Century Park Hotel, Malate, Manila",National,"April 19-20, 2023",False,['Abegail O. Magcamit'],Other
2023,"Level of Satisfaction in Maternal and Child Health Care Services of the BEmONC Facility as perceived by parents in Ten Barangays of Buenavista, Marinduque, Philippines",Divina R. Vitto,Completed,2022-03-01,2023-03-02,"35th APSOM Annual Convention ? Association of Philippine Schools of Midwifery, Inc","Century Park Hotel, Malate, Manila",National,"April 19-20, 2023",False,['Divina R. Vitto'],Health
2023,"Training Needs Assessment of Barangay Officials in the Municipalities of Torrijos and Buenavista, Marinduque","Joy R. Profugo
Wilmer L. Imperio
Neil Ryan P. Rodil",Completed,2022-11-01,2023-04-01,"6th International Conference in Research, Education, Management, and the Social Sciences","Crown Legacy Hotel, Baguio City",International,"April 15-17, 2023",False,"['Joy R. Profugo', 'Wilmer L. Imperio', 'Neil Ryan P. Rodil']",Other
2023,"Evaluating Resident Satisfaction with Tourism Promotion Program in Barangay Pili, Mogpog, Marinduque: Implications to Local Tourism Management  ",Generoso E. Udanga,Completed,2022-10-16,2023-01-15,International Hospitality and Tourism Research  AMPAYAG: 1st International Conference Conference,"Laoag City, Ilocos Norte",International,"May 18-19, 2023",False,['Generoso E. Udanga'],Tourism
2023,Kaligtasan 2050: Emerging  Trends and Futures in Marinduque Safety and Security Scenario ,"Katrina E. De Mesa
Portia RZ. Hermosa",Completed,2023-11-20,2023-04-20,DLSU D National Conference on Technology and Research for National Development and Sustainability (TReNDS),DLSU Dasmarinas,National,"May 24-26, 2023",False,"['Katrina E. De Mesa', 'Portia RZ. Hermosa']",Other
2023,CFD-Based Surface Runoff Simulation Model as a Tool for a Flood Control System,Rester JiNang,Completed,2022-11-15,2023-04-15,2nd International Conference on Climate Change Adaptation (CCA) and Disaster Risk Reduction Management (DRRM),"Amari Don Muang Airport Hotel, Bangkok, Thailand.",International,"May 29-June 2, 2023",False,['Rester JiNang'],Other
2023,Interpreting the Marinduque Provincial Government and Fisherfolks? relation on development projects: Towards a policy of co-governance in public administration,Hilaron R. Elegado,Completed,2023-01-15,2023-01-05, 2023 Political  Science Association International Conference, Western Visayas State University,International,"June 7-8, 2023",False,['Hilaron R. Elegado'],Governance
2023,"The Perceived Impact of Legislative Actions taken by the Sangguniang Bayan of Sta. Cruz, Marinduque","Anne Grace M. Labatete
Wilmer L. Imperio",Completed,2023-02-20,2023-05-20, 2023 Political  Science Association International Conference , Western Visayas State University,International,"June 7-8, 2023",False,"['Anne Grace M. Labatete', 'Wilmer L. Imperio']",Governance
