Year,Research Title,Name of Faculty Researcher / Author,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation
2023,"Level of Satisfaction of the Residents of Brgy. Pili, Mogpog, Marinduque on Government Service Delivery","Generoso E. Udanga
Abraham L. Cuevas",Completed,10/16/2022,1/15/2023,PSU BIMP-EAGA International Research Conference,"City State Asturias Hotel, Puerto Princesa, Palawan",International,2023-02-09
2023,Lived Experiences of Selected MSMEs on Technological Assistance,Michael V. Capi�a,Completed,9/25/2022,1/25/2023,"2023 International Conference on Sustainable Agri-vironment Education, Entrepreneurship, and Community Development (ICSAVED)",Mariano Marcos State Univeristy,International,"March 14-17, 2023"
2023,Tracer Study of Diploma in Midwifery Graduates in the Marinduque State College from 2006-2022,Abegail O. Magcamit,Completed,10/1/2022,3/1/2023,"35th APSOM Annual Convention ? Association of Philippine Schools of Midwifery, Inc","Century Park Hotel, Malate, Manila",National,"April 19-20, 2023"
2023,"Level of Satisfaction in Maternal and Child Health Care Services of the BEmONC Facility as perceived by parents in Ten Barangays of Buenavista, Marinduque, Philippines",Divina R. Vitto,Completed,3/1/2022,3/2/2023,"35th APSOM Annual Convention ? Association of Philippine Schools of Midwifery, Inc","Century Park Hotel, Malate, Manila",National,"April 19-20, 2023"
2023,"Training Needs Assessment of Barangay Officials in the Municipalities of Torrijos and Buenavista, Marinduque","Joy R. Profugo
Wilmer L. Imperio
Neil Ryan P. Rodil",Completed,11/1/2022,4/1/2023,"6th International Conference in Research, Education, Management, and the Social Sciences","Crown Legacy Hotel, Baguio City",International,"April 15-17, 2023"
2023,"Evaluating Resident Satisfaction with Tourism Promotion Program in Barangay Pili, Mogpog, Marinduque: Implications to Local Tourism Management  ",Generoso E. Udanga,Completed,10/16/2022,1/15/2023,International Hospitality and Tourism Research  AMPAYAG: 1st International Conference Conference,"Laoag City, Ilocos Norte",International,"May 18-19, 2023"
2023,Kaligtasan 2050: Emerging  Trends and Futures in Marinduque Safety and Security Scenario ,"Katrina E. De Mesa
Portia RZ. Hermosa",Completed,11/20/2023,4/20/2023,DLSU D National Conference on Technology and Research for National Development and Sustainability (TReNDS),DLSU Dasmarinas,National,"May 24-26, 2023"
2023,CFD-Based Surface Runoff Simulation Model as a Tool for a Flood Control System,Rester JiNang,Completed,11/15/2022,4/15/2023,2nd International Conference on Climate Change Adaptation (CCA) and Disaster Risk Reduction Management (DRRM),"Amari Don Muang Airport Hotel, Bangkok, Thailand.",International,"May 29-June 2, 2023"
2023,Interpreting the Marinduque Provincial Government and Fisherfolks? relation on development projects: Towards a policy of co-governance in public administration,Hilaron R. Elegado,Completed,1/15/2023,1/5/2023, 2023 Political  Science Association International Conference, Western Visayas State University,International,"June 7-8, 2023"
2023,"The Perceived Impact of Legislative Actions taken by the Sangguniang Bayan of Sta. Cruz, Marinduque","Anne Grace M. Labatete
Wilmer L. Imperio",Completed,2/20/2023,5/20/2023, 2023 Political  Science Association International Conference , Western Visayas State University,International,"June 7-8, 2023"
